,product_name,price,varietal,rating,rating_count,appellation,region,year
1881,Domaine Meo-Camuzet Clos de Vougeot Grand Cru Maupertuis,429,Pinot Noir,0.0,0.0,['Tuscany'], Italy,2017
1882,Masseto,799,Merlot,5.0,7.0,[' Burgundy'], France,2016
1883,Domaine de l'Arlot Nuits-St-Georges Clos des Forets St Georges Premier Cru Monopole,154,Pinot Noir,0.0,0.0,[' Burgundy'], France,2018
1884,Domaine Henri Gouges Nuits-St-Georges Les Vaucrains Premier Cru,169,Pinot Noir,0.0,0.0,[' Napa Valley'], California,2018
1885,Amici Spring Mountain Chardonnay,53,Chardonnay,0.0,0.0,[' Bordeaux'], France,2016
1886,Chateau de Pressac ,35,Bordeaux Red Blends,0.0,0.0,[' Burgundy'], France,2019
1887,Domaine Confuron-Cotetidot Nuits-St-Georges Les Vignes-Rondes Premier Cru,144,Pinot Noir,0.0,0.0,[' Burgundy'], France,2016
1888,Domaine Perrot-Minot Charmes-Chambertin Grand Cru,299,Pinot Noir,0.0,0.0,['Champagne'], France,2012
1890,Emilio Moro Malleolus de Sanchomartin,184,Tempranillo,0.0,0.0,[' Burgundy'], France,2015
1891,Louis Latour Chateau Corton Grancey Grand Cru ,850,Pinot Noir,0.0,0.0,[' Burgundy'], France,2016
1892,Domaine Bachelet-Monnot Meursault Clos du Cromin,84,Chardonnay,0.0,0.0,[' Burgundy'], France,2018
1893,Denis Mortet Gevrey-Chambertin Lavaux St-Jacques Premier Cru,279,Pinot Noir,0.0,0.0,[' Burgundy'], France,2013
1894,Joseph Drouhin Beaune Clos des Mouches Premier Cru Blanc,209,Chardonnay,0.0,0.0,[' Burgundy'], France,2018
1895,Patrick Piuze Chablis Montee de Tonnerre Premier Cru,94,Chardonnay,0.0,0.0,[' Bordeaux'], France,2018
1896,Chateau Certan de May,179,Bordeaux Red Blends,0.0,0.0,[' Burgundy'], France,2016
1897,Domaine Pinson Freres Chablis les Clos Grand Cru ,199,Chardonnay,0.0,0.0,[' Tuscany'], Italy,2018
1898,Castello di Albola Il Solatio Chianti Classico Gran Selezione,79,Sangiovese,0.0,0.0,[' Bordeaux'], France,2015
1899,Chateau Leoville Poyferre ,199,Bordeaux Red Blends,0.0,0.0,['Napa Valley'], California,2018
1900,Chappellet Signature Cabernet Sauvignon,69,Cabernet Sauvignon,0.0,0.0,[' Burgundy'], France,2018
1901,Louis Latour Clos Vougeot Grand Cru,400,Pinot Noir,0.0,0.0,['Santa Cruz Mountains'], California,2016
1902,Mount Eden Vineyards Estate Cabernet Sauvignon,119,Cabernet Sauvignon,0.0,0.0,[' Burgundy'], France,2011
1903,Marc Colin St-Aubin En Montceau Premier Cru,79,Chardonnay,0.0,0.0,[' Napa Valley'], California,2018
1904,Staglin Chardonnay,125,Chardonnay,0.0,0.0,[' Burgundy'], France,2018
1905,Domaine Michel Niellon Chassagne-Montrachet Les Champgains Premier Cru,159,Chardonnay,0.0,0.0,[' Bordeaux'], France,2018
1906,Chateau La Mission Haut-Brion Blanc ,619,Bordeaux White Blends,0.0,0.0,[' Napa Valley'], California,2019
1907,Rudd Samantha's Cabernet Sauvignon,174,Cabernet Sauvignon,0.0,0.0,['Central Coast'], California,2016
1908,Siduri Rosella's Vineyard Pinot Noir,52,Pinot Noir,0.0,0.0,['Tasmania'], Australia,2016
1909,Dalrymple Cottage Block Pinot Noir,61,Pinot Noir,0.0,0.0,[' Bordeaux'], France,2017
1910,Chateau Beychevelle,99,Bordeaux Red Blends,0.0,0.0,[' Columbia Valley'], Washington,2018
1911,Cayuse Impulsivo Tempranillo,189,Tempranillo,0.0,0.0,['Santa Cruz Mountains'], California,2013
