,product_name,price,varietal,origin,rating,rating_count
19423,Domaine du Vieux Telegraphe Chateauneuf-du-Pape La Crau (375ML half-bottle) 2010,39,Rhone Red Blends,"Chateauneuf-du-Pape, Rhone, France",0.0,0
19424,Delas Crozes-Hermitage Le Clos 2015,63,Syrah/Shiraz,"Rhone, France",0.0,0
19425,Kosta Browne Gap's Crown Vineyard Pinot Noir (1.5L Magnum) 2016,329,Pinot Noir,"Petaluma Gap, Sonoma Coast, Sonoma County, California",0.0,0
19426,Caymus Napa Valley Cabernet Sauvignon (1.5 Liter Magnum) 2014,159,Cabernet Sauvignon,"Napa Valley, California",4.4,71
19427,Chateau Figeac (3 Liter) 2010,"1,199",Bordeaux Red Blends,"St. Emilion, Bordeaux, France",0.0,0
19428,Fuligni Brunello di Montalcino (1.5 Liter Magnum) 2015,239,Sangiovese,"Montalcino, Tuscany, Italy",0.0,0
19429,Hall Napa Valley Cabernet Sauvignon (3 Liter Bottle) 2015,259,Cabernet Sauvignon,"Napa Valley, California",0.0,0
19430,Conterno Fantino Barolo Sori Ginestra 2007,115,Nebbiolo,"Barolo, Piedmont, Italy",0.0,0
19431,Castello dei Rampolla d'Alceo 2015,219,Bordeaux Red Blends,"Tuscany, Italy",0.0,0
19432,Mongeard-Mugneret Echezeaux Grand Cru La Grande Complication 2018,229,Pinot Noir,"Flagey-Echezeaux, Cote de Nuits, Cote d'Or, Burgundy, France",0.0,0
19433,Bodegas Muga Gran Reserva Prado Enea 2005,58,Tempranillo,"Rioja, Spain",4.4,16
19434,Chateau LaTour-Martillac 2016,44,Bordeaux Red Blends,"Pessac-Leognan, Bordeaux, France",3.8,6
19435,Chateau Brane-Cantenac 2010,109,Bordeaux Red Blends,"Margaux, Bordeaux, France",0.0,0
19436,Domaine de Beaurenard Cuvee Boisrenard Chateauneuf-du-Pape 2009,99,Rhone Red Blends,"Chateauneuf-du-Pape, Rhone, France",0.0,0
